"Index","Collisions"
"774","1719"
"775","1618"
"776","1658"
"777","1658"
"778","1667"
"779","1682"
"780","1629"
"781","1694"
"782","1642"
"783","1638"
"784","1935"
"785","1752"
"786","1690"
"787","1760"
"788","1677"
"789","1676"
"790","1675"
"791","1720"
"792","1728"
"793","1638"
"794","1683"
"795","1704"
"796","1954"
"797","1669"
"798","1626"
"799","1671"
"800","2298"
"801","1582"
"802","1707"
"803","1696"
"804","1774"
"805","1671"
"806","1665"
"807","1616"
"808","1666"
"809","1702"
"810","1667"
"811","1664"
"812","1706"
"813","1772"
"814","1622"
"815","1677"
"816","1856"
"817","1747"
"818","1631"
"819","1670"
"820","1622"
"821","1621"
"822","1717"
"823","1692"
"824","1643"
"825","1716"
"826","1725"
"827","1622"
"828","1629"
"829","1674"
"830","1648"
"831","1617"
"832","3100"
"833","1768"
"834","1686"
"835","1711"
"836","1599"
"837","1692"
"838","1719"
"839","1677"
"840","1703"
"841","1675"
"842","1635"
"843","1718"
"844","1672"
"845","1711"
"846","1646"
"847","1736"
"848","1854"
"849","1691"
"850","1709"
"851","1610"
"852","1645"
"853","1655"
"854","1692"
"855","1652"
"856","1681"
"857","1609"
"858","1651"
"859","1675"
"860","1674"
"861","1682"
"862","1640"
"863","1699"
"864","2270"
"865","1680"
"866","1654"
"867","1718"
"868","1705"
"869","1632"
"870","1708"
"871","1808"
"872","1730"
"873","1651"
"874","1635"
"875","1665"
"876","1702"
"877","1663"
"878","1707"
"879","1595"
"880","1821"
"881","1686"
"882","1637"
"883","1654"
"884","1719"
"885","1584"
"886","1660"
"887","1654"
"888","1730"
"889","1779"
"890","1745"
"891","1578"
"892","1680"
"893","1627"
"894","1709"
"895","1645"
"896","3828"
"897","1682"
"898","1733"
"899","1705"
"900","1655"
"901","1695"
"902","1615"
"903","1673"
"904","1714"
"905","1675"
"906","1689"
"907","1672"
"908","1569"
"909","1655"
"910","1700"
"911","1761"
"912","1853"
"913","1673"
"914","1643"
"915","1627"
"916","1724"
"917","1630"
"918","1705"
"919","1627"
"920","1648"
"921","1703"
"922","1660"
"923","1687"
"924","1743"
"925","1645"
"926","1697"
"927","1672"
"928","2324"
"929","1658"
"930","1649"
"931","1725"
"932","1660"
"933","1599"
"934","1659"
"935","1702"
"936","1674"
"937","1719"
"938","1720"
"939","1603"
"940","1626"
"941","1684"
"942","1647"
"943","1688"
"944","1826"
"945","1652"
"946","1683"
"947","1660"
"948","1707"
"949","1626"
"950","1642"
"951","1655"
"952","1723"
"953","1730"
"954","1682"
"955","1693"
"956","1760"
"957","1681"
"958","1688"
"959","1682"
"960","3030"
"961","1740"
"962","1710"
"963","1694"
"964","1682"
"965","1690"
"966","1675"
"967","1685"
"968","1718"
"969","1648"
"970","1661"
"971","1642"
"972","1655"
"973","1628"
"974","1618"
"975","1634"
"976","1884"
"977","1682"
"978","1674"
"979","1709"
"980","1663"
"981","1629"
"982","1718"
"983","1707"
"984","1685"
"985","1616"
"986","1606"
"987","1664"
"988","1665"
"989","1636"
"990","1713"
"991","1718"
"992","2270"
"993","1655"
"994","1736"
"995","1976"
"996","1683"
"997","1672"
"998","1691"
"999","1598"
"1000","1729"
"1001","1713"
"1002","1692"
"1003","1709"
"1004","1683"
"1005","1760"
"1006","1653"
"1007","1605"
"1008","1831"
"1009","1643"
"1010","1642"
"1011","1711"
"1012","1633"
"1013","1630"
"1014","1655"
"1015","1699"
"1016","1689"
"1017","1737"
"1018","1695"
"1019","1656"
"1020","1707"
"1021","1664"
"1022","1614"
"1023","1673"
"1024","6857"
"1025","1687"
"1026","1717"
"1027","1663"
"1028","1700"
"1029","1613"
"1030","1723"
"1031","1683"
"1032","1678"
"1033","1704"
"1034","1683"
"1035","1689"
"1036","1739"
"1037","1682"
"1038","1649"
"1039","1693"
"1040","1868"
"1041","1654"
"1042","1669"
"1043","1645"
"1044","1681"
"1045","1655"
"1046","1676"
"1047","1631"
"1048","1686"
"1049","1672"
"1050","1728"
"1051","1658"
"1052","1654"
"1053","1655"
"1054","1679"
"1055","1710"
"1056","2272"
"1057","1654"
"1058","1680"
"1059","1628"
"1060","1721"
"1061","1706"
"1062","1654"
"1063","1738"
"1064","1730"
"1065","1675"
"1066","1643"
"1067","1653"
"1068","1694"
"1069","1687"
"1070","1643"
"1071","1675"
"1072","1931"
"1073","1623"
"1074","1730"
"1075","1753"
"1076","1622"
"1077","1661"
"1078","1656"
"1079","1623"
"1080","1621"
"1081","1643"
"1082","1674"
"1083","1689"
"1084","1667"
"1085","1715"
"1086","1663"
"1087","1660"
"1088","3013"
"1089","1632"
"1090","1697"
"1091","1657"
"1092","1619"
"1093","1644"
"1094","1676"
"1095","1644"
"1096","1626"
"1097","1701"
"1098","1666"
"1099","1660"
"1100","1741"
"1101","1829"
"1102","1828"
"1103","1657"
"1104","1879"
"1105","1664"
"1106","1665"
"1107","1605"
"1108","1688"
"1109","1661"
"1110","1733"
"1111","1787"
"1112","1829"
"1113","1656"
"1114","1666"
"1115","1677"
"1116","1632"
"1117","1700"
"1118","1706"
"1119","1690"
"1120","2229"
"1121","1692"
"1122","1601"
"1123","1675"
"1124","1690"
"1125","1606"
"1126","1672"
"1127","1633"
"1128","1682"
"1129","1683"
"1130","1655"
"1131","1669"
"1132","1693"
"1133","1652"
"1134","1624"
"1135","1679"
"1136","1896"
"1137","1629"
"1138","1710"
"1139","1697"
"1140","1608"
"1141","1619"
"1142","1624"
"1143","1639"
"1144","1637"
"1145","1678"
"1146","1660"
"1147","1704"
"1148","1645"
"1149","1705"
"1150","1674"
"1151","1621"
"1152","3822"
"1153","1721"
"1154","1645"
"1155","1684"
"1156","1715"
"1157","1663"
"1158","1688"
"1159","1652"
"1160","1710"
"1161","1702"
"1162","1638"
"1163","1667"
"1164","1671"
"1165","1662"
"1166","1600"
"1167","1640"
"1168","1885"
"1169","1663"
"1170","1640"
"1171","1626"
"1172","1659"
"1173","1647"
"1174","1639"
"1175","1640"
"1176","1668"
"1177","1681"
"1178","1735"
"1179","1656"
"1180","1681"
"1181","1665"
"1182","1659"
"1183","1690"
"1184","2299"
"1185","1695"
"1186","1678"
"1187","1694"
"1188","1751"
"1189","1702"
"1190","1695"
"1191","1694"
"1192","1700"
"1193","1672"
"1194","1881"
"1195","1699"
"1196","1668"
"1197","1636"
"1198","1683"
"1199","1705"
"1200","1929"
"1201","1651"
"1202","1692"
"1203","1738"
"1204","1573"
"1205","1665"
"1206","1768"
"1207","1640"
"1208","1638"
"1209","1653"
"1210","1642"
"1211","1764"
"1212","1827"
"1213","1760"
"1214","1677"
"1215","1689"
"1216","3047"
"1217","1673"
"1218","1619"
"1219","1640"
"1220","1740"
"1221","1632"
"1222","1720"
"1223","1695"
"1224","1677"
"1225","1687"
"1226","1659"
"1227","1624"
"1228","1709"
"1229","1621"
"1230","1684"
"1231","1610"
"1232","1866"
"1233","1682"
"1234","1630"
"1235","1618"
"1236","1636"
"1237","1702"
"1238","1629"
"1239","1705"
"1240","1687"
"1241","1643"
"1242","1645"
"1243","1678"
"1244","1627"
"1245","1645"
"1246","1732"
"1247","1669"
"1248","2283"
"1249","1695"
"1250","1661"
"1251","1613"
"1252","1661"
"1253","1634"
"1254","1690"
"1255","1634"
"1256","1667"
"1257","1670"
"1258","1691"
"1259","1681"
"1260","1662"
"1261","1685"
"1262","1652"
"1263","1654"
"1264","1872"
"1265","1653"
"1266","1661"
"1267","1711"
"1268","1653"
"1269","1642"
"1270","1665"
"1271","1651"
"1272","1697"
"1273","1716"
"1274","1706"
"1275","1654"
"1276","1640"
"1277","1709"
"1278","1698"
"1279","1668"
"1280","5711"
"1281","1706"
"1282","1709"
